Date, Close/Last, Volume, Open, High, Low
02/18/2020, $33.9869, 12842, $33.4361, $34.272, $32.665
02/14/2020, $35, 3298, $35.194, $35.2799, $35
02/13/2020, $35.4939, 4387, $35.7593, $35.7593, $35.4939
02/12/2020, $35.2237, 3115, $35.2221, $35.2237, $35.17
02/11/2020, $35.3115, 4288, $34.86, $35.3123, $34.86
02/10/2020, $33.8538, 4949, $33.9384, $34.1099, $33.7959
02/07/2020, $34.35, 1270, $34.3349, $34.35, $33.8988
02/06/2020, $34.9082, 13272, $35.0262, $35.2462, $34.9006
02/05/2020, $35.23, 4068, $35.8988, $35.9214, $35.23
02/04/2020, $35.1797, 9942, $34.75, $35.535, $34.75
02/03/2020, $33.6596, 4691, $34.23, $34.23, $33.3835
01/31/2020, $33.5771, 7212, $33.787, $33.8758, $33.5771
01/30/2020, $33.97, 3696, $34.191, $34.5, $33.4867
01/29/2020, $34.53, 3053, $34.44, $34.6473, $34.09
01/28/2020, $34.36, 5299, $34.2923, $34.7, $34.29
01/27/2020, $33.8772, 23989, $34.1628, $34.4685, $33.4205
